Transaction id,Account id,Merchant_id,Device_id,Tansaction amount,Transaction time,Transaction city,Transaction status
TXN_7D03E74EA2D24852,ACC_D4CN3LIK,MER_87CMP6US,DEV_BM6J8215,603,2025-01-01 09:19:00,Chennai,SUCCESS
TXN_DC627F705AA84FFC,ACC_K0G08SER,MER_2VA2JDWJ,DEV_4KTM8DMM,150,2025-01-02 06:40:00,Hyderabad,SUCCESS
TXN_56F614447D444E69,ACC_3Y6TP0K8,MER_RLLO5EUE,DEV_HDZUQIWR,3907,2025-01-03 14:09:00,Delhi,SUCCESS
TXN_C1B09B9F40E24723,ACC_A3P4C4QC,MER_AD3OL17Z,DEV_4GDPZ18V,3460,2025-01-04 22:34:00,Chennai,SUCCESS
TXN_1DB060CFE59543E0,ACC_9VDZN97L,MER_ILPDW0NH,DEV_TMFL6CH5,3712,2025-01-05 03:50:00,Hyderabad,SUCCESS
TXN_08E139D52F5C4384,ACC_CH3TWEJG,MER_S4Z42O0A,DEV_5IZRGCRN,1418,2025-01-06 23:45:00,Hyderabad,SUCCESS
TXN_3D3A2D43017C4A01,ACC_HTMSP7CU,MER_EYQ8SVKN,DEV_C29I4LM2,388,2025-01-07 19:45:00,Chennai,SUCCESS
TXN_A399A71234064CD7,ACC_L7WR0MF7,MER_OLMFRSFP,DEV_GBZ51HJN,1740,2025-01-08 09:39:00,Mumbai,SUCCESS
TXN_3C64CAF4432048FC,ACC_YDJN7071,MER_W6LLFVEP,DEV_RWMJ56L0,147733,2025-01-09 21:19:00,Delhi,SUCCESS
TXN_F9B7698B8E18447B,ACC_SZNHQFS6,MER_FNR55361,DEV_4GDPZ18V,3043,2025-01-10 02:18:00,Mumbai,SUCCESS
TXN_03A357F433944AD4,ACC_OKAYY6FD,MER_2VUH5Q1T,DEV_DQDYP9NF,725,2025-01-11 03:29:00,Mumbai,SUCCESS
TXN_F6BCD0E4B5964A2B,ACC_DSZU3UU4,MER_QF6XU200,DEV_O6FG2MZ9,1938,2025-01-12 06:58:00,Delhi,SUCCESS
TXN_E5EFF9D0EBC942B6,ACC_OAWSLHJF,MER_M096Z2VD,DEV_N12M13HW,2033,2025-01-13 22:00:00,Delhi,FAILED
TXN_ABADE0BF1BBE46B9,ACC_8BP5AR7G,MER_MZOUC6FL,DEV_V0X3C7H4,3509,2025-01-14 09:03:00,Bangalore,SUCCESS
TXN_F6F8CB0F2FE24B25,ACC_VFZ8XC4H,MER_UFIH90ET,DEV_FP53ZV5T,3190,2025-01-15 16:41:00,Chennai,SUCCESS
TXN_B763EA07BCAC49D4,ACC_HLWA49F9,MER_SFPQYYRG,DEV_18DPS48I,366,2025-01-16 01:43:00,Mumbai,SUCCESS
TXN_26698A74FEF344D7,ACC_8D8XPPXX,MER_XEA5578F,DEV_MEGOFALB,3363,2025-01-17 18:09:00,Delhi,SUCCESS
TXN_F5D1D533ECBC42BD,ACC_70CUCN64,MER_5TGJTFOR,DEV_VAV2V6KN,1572,2025-01-18 13:22:00,Delhi,SUCCESS
TXN_9774886D16A84C73,ACC_XVWYL2PA,MER_N4NGE18N,DEV_G5I3JRDP,2242,2025-01-19 05:50:00,Hyderabad,SUCCESS
